,明细_所属分类,填表人,流水号,图片,文件,审批状态,数据日期,所属部门,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
14,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,硫磺入库,63e0581be4b02e6e0f71ab66,2024-04-01,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:14,6654506926abb50001c5fa6c,吨
15,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,硫磺消耗,63e0581be4b02e6e0f71ab66,2024-04-01,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:14,6654506926abb50001c5fa6c,吨
16,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,打入其他硫酸数量,63e0581be4b02e6e0f71ab66,2024-04-01,38c28f7b4c8c4af191a6c5f70c13473b,3.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:14,6654506926abb50001c5fa6c,立方米
17,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,打入半自磨硫酸数量,63e0581be4b02e6e0f71ab66,2024-04-01,38c28f7b4c8c4af191a6c5f70c13473b,46.0,半自磨硫酸,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:14,6654506926abb50001c5fa6c,立方米
18,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,打入浓密硫酸数量,63e0581be4b02e6e0f71ab66,2024-04-01,38c28f7b4c8c4af191a6c5f70c13473b,40.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:14,6654506926abb50001c5fa6c,立方米
19,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,硫酸生产出酸产量,63e0581be4b02e6e0f71ab66,2024-04-01,38c28f7b4c8c4af191a6c5f70c13473b,89.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:14,6654506926abb50001c5fa6c,立方米
20,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,硫磺入库,63e0581be4b02e6e0f71ab66,2024-04-01,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:14,6654506926abb50001c5fa6c,袋
21,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,硫磺消耗,63e0581be4b02e6e0f71ab66,2024-04-01,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:14,6654506926abb50001c5fa6c,袋
22,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,碳酸钠（纯碱）消耗,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,KG
23,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,阻垢剂消耗,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,KG
